ID,N/U,F/J,DaysLastBuy,ValueLastBuy,NumberOfPayments,FinishPaying,DaysLastService,NumberOfBuys,NumberOfServices,TotalSalesSpending,TotalServicesSpending,KM,Results
1,U,F,112.0,45300.0,0.0,112.0,,2,0,90600.0,0.0,0,0.0
2,U,F,67.0,175000.0,18.0,-473.0,115.0,9,12,2491200.0,10810.05,11810,0.0
3,U,F,115.0,29000.0,0.0,115.0,,3,0,87000.0,0.0,0,0.0
4,U,F,115.0,74500.0,0.0,115.0,,4,0,298000.0,0.0,0,0.0
5,U,F,116.0,36400.0,0.0,116.0,,3,0,109200.0,0.0,0,0.0
6,U,J,91.0,7600.0,0.0,91.0,,6,0,92100.0,0.0,0,1.0
7,N,F,99.0,172000.0,0.0,99.0,917.0,5,4,2166900.0,4908.51,9690,0.0
8,U,F,117.0,37000.0,0.0,117.0,,3,0,111000.0,0.0,0,0.0
9,U,F,117.0,49345.0,0.0,117.0,,3,0,148035.0,0.0,0,0.0
10,U,F,117.0,26800.0,0.0,117.0,,4,0,107200.0,0.0,0,0.0
11,U,F,118.0,42000.0,0.0,118.0,,4,0,168000.0,0.0,0,0.0
12,U,F,118.0,45400.0,0.0,118.0,,4,0,181600.0,0.0,0,0.0
13,U,F,118.0,37600.0,0.0,118.0,,1,0,37600.0,0.0,0,0.0
14,N,F,74.0,74500.0,0.0,74.0,,5,0,372500.0,0.0,0,0.0
15,U,F,119.0,45700.0,0.0,119.0,,5,0,228500.0,0.0,0,0.0
16,U,F,119.0,27500.0,0.0,119.0,,1,0,27500.0,0.0,0,1.0
17,U,F,119.0,33000.0,0.0,119.0,,4,0,132000.0,0.0,0,0.0
18,U,F,119.0,35000.0,0.0,119.0,,3,0,105000.0,0.0,0,0.0
19,U,F,122.0,46800.0,0.0,122.0,,4,0,187200.0,0.0,0,0.0
20,N,F,92.0,77000.0,0.0,92.0,,6,7,375900.0,741.64,29425,0.0
21,N,F,77.0,119000.0,0.0,77.0,,1,0,119000.0,0.0,0,0.0
22,U,F,122.0,37800.0,0.0,122.0,,4,0,151200.0,0.0,0,0.0
23,U,F,123.0,39500.0,0.0,123.0,,3,0,118500.0,0.0,0,0.0
24,U,F,123.0,32000.0,48.0,-1317.0,,4,0,128000.0,0.0,0,0.0
25,N,F,93.0,199460.0,0.0,93.0,880.0,26,27,5557240.0,6570.120000000001,3736,0.0
26,U,F,123.0,27800.0,0.0,123.0,,4,0,111200.0,0.0,0,0.0
27,U,F,123.0,40000.0,0.0,123.0,,1,0,40000.0,0.0,0,0.0
28,U,F,125.0,27400.0,0.0,125.0,,3,0,82200.0,0.0,0,0.0
29,U,F,125.0,19500.0,0.0,125.0,,3,0,58500.0,0.0,0,0.0
30,U,F,125.0,37000.0,0.0,125.0,,1,0,37000.0,0.0,0,0.0
31,U,F,126.0,55000.0,0.0,126.0,,1,0,55000.0,0.0,0,0.0
32,U,F,126.0,45000.0,0.0,126.0,,2,0,90000.0,0.0,0,0.0
33,U,F,129.0,46000.0,0.0,129.0,,1,0,46000.0,0.0,0,0.0
34,U,F,129.0,30860.0,0.0,129.0,,3,0,92580.0,0.0,0,0.0
35,N,F,84.0,74550.0,0.0,84.0,,2,0,149100.0,0.0,0,0.0
36,U,F,107.0,70000.0,24.0,-613.0,,5,0,350000.0,0.0,0,0.0
37,U,F,132.0,34500.0,0.0,132.0,,2,0,59000.0,0.0,0,0.0
38,U,F,132.0,61000.0,0.0,132.0,,1,0,61000.0,0.0,0,0.0
39,U,F,132.0,38500.0,0.0,132.0,,4,0,154000.0,0.0,0,0.0
40,N,F,107.0,74000.0,0.0,107.0,575.0,5,10,314200.0,2764.29,90179,0.0
41,U,F,132.0,35000.0,0.0,132.0,,1,0,35000.0,0.0,0,0.0
42,N,F,102.0,69000.0,0.0,102.0,,3,0,207000.0,0.0,0,0.0
43,N,F,132.0,77000.0,0.0,132.0,2140.0,3,7,205800.0,4167.120000000001,40644,0.0
44,N,F,132.0,78000.0,0.0,132.0,,2,0,156000.0,0.0,0,0.0
45,U,F,132.0,38000.0,0.0,132.0,,1,0,38000.0,0.0,0,0.0
46,U,F,132.0,39600.0,0.0,132.0,,1,0,39600.0,0.0,0,0.0
47,N,F,107.0,250600.0,0.0,107.0,206.0,5,9,1253000.0,32638.9,31608,0.0
48,U,F,132.0,29345.0,0.0,132.0,,3,0,88035.0,0.0,0,0.0
49,U,F,53.0,51700.0,0.0,53.0,363.0,8,2,357500.0,979.67,75000,0.0
50,N,F,133.0,79440.0,0.0,133.0,126.0,3,4,238320.0,1431.0900000000001,11,0.0
51,U,F,133.0,21500.0,0.0,133.0,,3,0,64500.0,0.0,0,0.0
52,N,F,108.0,99900.0,0.0,108.0,,4,0,399600.0,0.0,0,0.0
53,U,F,133.0,38400.0,24.0,-587.0,,3,0,115200.0,0.0,0,0.0
54,U,F,53.0,201400.0,0.0,53.0,32.0,37,10,9206110.0,24039.44,4127,1.0
55,U,F,133.0,62900.0,0.0,133.0,,1,0,62900.0,0.0,0,0.0
56,U,F,136.0,56000.0,0.0,136.0,,3,0,168000.0,0.0,0,0.0
57,U,F,136.0,65500.0,0.0,136.0,,1,0,65500.0,0.0,0,1.0
58,N,F,136.0,65760.0,0.0,136.0,,2,0,131520.0,0.0,0,0.0
59,U,J,111.0,90000.0,0.0,111.0,,3,0,270000.0,0.0,0,0.0
60,N,F,111.0,447000.0,0.0,111.0,206.0,4,21,1788000.0,16198.67,5796,0.0
61,U,F,136.0,62000.0,0.0,136.0,,1,0,62000.0,0.0,0,0.0
62,N,F,111.0,105000.0,0.0,111.0,,1,0,105000.0,0.0,0,0.0
63,U,F,58.0,14500.0,12.0,-302.0,170.0,2,2,58000.0,2315.14,153645,0.0
64,U,F,138.0,40000.0,0.0,138.0,,4,0,160000.0,0.0,0,0.0
65,N,J,58.0,278000.0,0.0,58.0,,6,0,3336000.0,0.0,0,0.0
66,N,F,113.0,95000.0,0.0,113.0,150.0,4,2,380000.0,435.45,70197,0.0
67,N,F,93.0,104000.0,0.0,93.0,113.0,6,37,1039600.0,37927.799999999996,25845,0.0
68,N,F,113.0,233650.0,0.0,113.0,,5,0,801800.0,0.0,0,0.0
69,U,F,139.0,29900.0,0.0,139.0,,3,0,89700.0,0.0,0,0.0
70,N,F,94.0,99900.0,0.0,94.0,147.0,2,12,199800.0,3893.8600000000006,52844,0.0
71,N,F,94.0,74000.0,0.0,94.0,100.0,6,11,370000.0,4463.709999999999,1000,0.0
72,N,F,60.0,68000.0,0.0,60.0,339.0,4,2,272000.0,405.0,49586,0.0
73,N,F,60.0,64800.0,0.0,60.0,76.0,2,2,129600.0,1279.21,14172,0.0
74,N,F,60.0,276000.0,0.0,60.0,640.0,5,10,2760000.0,7242.62,24259,0.0
75,U,F,144.0,79190.0,0.0,144.0,,3,0,237570.0,0.0,0,0.0
76,N,J,119.0,104900.0,0.0,119.0,,2,0,209800.0,0.0,0,0.0
77,N,F,119.0,177630.0,0.0,119.0,115.0,5,22,888150.0,41127.11,17,0.0
78,U,F,144.0,58000.0,0.0,144.0,,3,0,174000.0,0.0,0,0.0
79,U,F,145.0,50000.0,0.0,145.0,,4,0,200000.0,0.0,0,0.0
80,U,F,145.0,42800.0,0.0,145.0,,5,0,214000.0,0.0,0,0.0
81,N,F,100.0,251281.0,0.0,100.0,217.0,3,13,1507686.0,325739.02,57258,0.0
82,U,F,145.0,38900.0,48.0,-1295.0,,1,0,38900.0,0.0,0,0.0
83,U,F,145.0,52900.0,0.0,145.0,,1,0,52900.0,0.0,0,0.0
84,N,F,101.0,72500.0,12.0,-259.0,161.0,7,5,750000.0,5128.0,49064,0.0
85,N,F,101.0,269950.0,36.0,-979.0,458.0,7,78,1968224.0,72409.14000000001,68842,0.0
86,U,F,146.0,29800.0,0.0,146.0,,3,0,89400.0,0.0,0,0.0
87,U,F,146.0,32000.0,0.0,146.0,,4,0,128000.0,0.0,0,0.0
88,N,F,101.0,79000.0,36.0,-979.0,582.0,7,5,463000.0,1592.21,11293,0.0
89,N,F,66.0,77000.0,0.0,66.0,,2,0,308000.0,0.0,0,0.0
90,U,F,146.0,28000.0,0.0,146.0,,1,0,28000.0,0.0,0,0.0
91,U,F,146.0,62500.0,36.0,-934.0,,3,0,187500.0,0.0,0,0.0
92,N,F,122.0,103750.0,0.0,122.0,,2,0,207500.0,0.0,0,0.0
93,U,F,150.0,32400.0,0.0,150.0,,4,0,129600.0,0.0,0,0.0
94,U,F,150.0,41000.0,24.0,-570.0,,2,0,82000.0,0.0,0,0.0
95,U,F,150.0,69000.0,0.0,150.0,,1,0,69000.0,0.0,0,0.0
96,U,F,151.0,46000.0,0.0,151.0,,3,0,138000.0,0.0,0,0.0
97,U,F,151.0,33000.0,0.0,151.0,,3,0,99000.0,0.0,0,0.0
98,N,F,71.0,175000.0,0.0,71.0,64.0,6,3,1157700.0,1615.78,112,0.0
99,N,J,107.0,93000.0,0.0,107.0,,1,0,93000.0,0.0,0,0.0
100,U,F,152.0,24300.0,0.0,152.0,,4,0,97200.0,0.0,0,0.0
101,U,J,152.0,43000.0,0.0,152.0,,1,0,86000.0,0.0,0,0.0
102,U,F,152.0,15500.0,0.0,152.0,,1,0,15500.0,0.0,0,0.0
103,N,F,107.0,76500.0,0.0,107.0,,1,0,76500.0,0.0,0,0.0
104,U,F,153.0,40500.0,0.0,153.0,,3,0,121500.0,0.0,0,0.0
105,U,F,153.0,28000.0,0.0,153.0,,1,0,28000.0,0.0,0,0.0
106,N,F,108.0,72000.0,0.0,108.0,,2,0,144000.0,0.0,0,0.0
107,U,F,153.0,19500.0,0.0,153.0,,1,0,19500.0,0.0,0,1.0
108,U,F,153.0,40000.0,0.0,153.0,,1,0,40000.0,0.0,0,0.0
109,N,F,123.0,92050.0,0.0,123.0,,1,0,92050.0,0.0,0,0.0
110,U,F,154.0,30900.0,0.0,154.0,,5,0,154500.0,0.0,0,0.0
111,U,F,154.0,24990.0,0.0,154.0,,3,0,74970.0,0.0,0,0.0
112,U,F,154.0,38590.0,0.0,154.0,2996.0,6,5,328360.0,2913.85,64992,0.0
113,U,F,154.0,27900.0,0.0,154.0,,1,0,27900.0,0.0,0,0.0
114,U,F,157.0,60700.0,0.0,157.0,,4,0,242800.0,0.0,0,0.0
115,U,F,157.0,45500.0,0.0,157.0,,1,0,45500.0,0.0,0,0.0
116,U,F,157.0,33500.0,0.0,157.0,,4,0,134000.0,0.0,0,0.0
117,U,J,132.0,56300.0,0.0,132.0,,1,0,56300.0,0.0,0,1.0
118,U,F,157.0,45900.0,0.0,157.0,,5,0,229500.0,0.0,0,0.0
119,U,F,158.0,37990.0,0.0,158.0,,4,0,151960.0,0.0,0,0.0
120,N,F,158.0,69000.0,0.0,158.0,282.0,8,6,622000.0,5618.389999999999,40238,0.0
121,U,F,159.0,54000.0,0.0,159.0,,6,0,324000.0,0.0,0,0.0
122,U,F,159.0,50300.0,0.0,159.0,,4,0,201200.0,0.0,0,0.0
123,U,F,159.0,62000.0,24.0,-561.0,,3,0,186000.0,0.0,0,0.0
124,U,F,134.0,99900.0,0.0,134.0,652.0,7,6,1829100.0,4060.5299999999997,18667,0.0
125,U,F,159.0,38535.0,0.0,159.0,,3,0,115605.0,0.0,0,0.0
126,N,F,135.0,102900.0,0.0,135.0,864.0,6,3,1058400.0,3971.24,19699,0.0
127,U,F,160.0,28200.0,0.0,160.0,,4,0,112800.0,0.0,0,0.0
128,U,F,160.0,32000.0,36.0,-920.0,,4,0,128000.0,0.0,0,0.0
129,N,F,130.0,86000.0,0.0,130.0,484.0,5,5,372000.0,2444.6800000000003,8759,0.0
130,U,F,160.0,41500.0,0.0,160.0,,3,0,124500.0,0.0,0,0.0
131,N,F,115.0,77500.0,0.0,115.0,711.0,4,13,277000.0,1962.8300000000002,19749,0.0
132,N,F,119.0,147450.0,0.0,119.0,,2,0,294900.0,0.0,0,0.0
133,N,F,139.0,319000.0,0.0,139.0,840.0,3,32,957000.0,12071.019999999999,15127,0.0
134,U,F,164.0,40000.0,0.0,164.0,,1,0,40000.0,0.0,0,0.0
135,U,F,164.0,42200.0,24.0,-556.0,,2,0,84400.0,0.0,0,0.0
136,N,F,134.0,296000.0,0.0,134.0,292.0,14,7,3576800.0,4929.43,12695,0.0
137,N,F,134.0,395390.0,0.0,134.0,983.0,7,43,2459560.0,40488.22,30831,0.0
138,N,F,119.0,445770.0,0.0,119.0,121.0,10,12,4197150.0,4047.0,20601,0.0
139,U,F,164.0,33000.0,0.0,164.0,,3,0,107400.0,0.0,0,0.0
140,U,F,164.0,49000.0,0.0,164.0,,1,0,49000.0,0.0,0,0.0
141,N,F,139.0,90000.0,0.0,139.0,,1,0,270000.0,0.0,0,0.0
142,U,F,164.0,72000.0,0.0,164.0,,4,0,288000.0,0.0,0,0.0
143,U,F,164.0,30500.0,0.0,164.0,,2,0,61000.0,0.0,0,0.0
144,U,F,164.0,36000.0,0.0,164.0,,1,0,36000.0,0.0,0,0.0
145,N,F,119.0,274900.0,0.0,119.0,72.0,7,17,1639000.0,22392.19,1592,0.0
146,U,F,168.0,51200.0,0.0,168.0,,4,0,614400.0,0.0,0,0.0
147,U,F,165.0,47500.0,0.0,165.0,,3,0,142500.0,0.0,0,0.0
148,U,F,165.0,29500.0,0.0,165.0,,5,0,147500.0,0.0,0,0.0
149,U,F,165.0,31310.0,0.0,165.0,,3,0,93930.0,0.0,0,0.0
150,U,F,165.0,68000.0,0.0,165.0,,2,0,136000.0,0.0,0,0.0
151,U,F,165.0,33500.0,0.0,165.0,,1,0,33500.0,0.0,0,0.0
152,U,F,166.0,38000.0,0.0,166.0,,4,0,152000.0,0.0,0,0.0
153,U,F,166.0,53000.0,0.0,166.0,,3,0,159000.0,0.0,0,0.0
154,U,J,141.0,39000.0,0.0,141.0,,164,0,4095800.0,0.0,0,0.0
155,U,F,166.0,76630.0,0.0,166.0,,3,0,229890.0,0.0,0,0.0
156,U,J,121.0,24900.0,0.0,121.0,,2,0,54900.0,0.0,0,0.0
157,U,F,166.0,33745.0,0.0,166.0,,2,0,67490.0,0.0,0,0.0
158,N,J,141.0,254900.0,24.0,-579.0,,3,0,989750.0,0.0,0,1.0
159,U,F,166.0,23500.0,0.0,166.0,,2,0,47000.0,0.0,0,0.0
160,U,F,167.0,36000.0,0.0,167.0,,3,0,108000.0,0.0,0,0.0
161,U,F,167.0,39500.0,0.0,167.0,,3,0,118500.0,0.0,0,0.0
162,U,F,167.0,31500.0,0.0,167.0,,3,0,94500.0,0.0,0,0.0
163,U,F,87.0,38380.0,0.0,87.0,,3,0,115140.0,0.0,0,0.0
164,N,F,137.0,94000.0,0.0,137.0,1495.0,4,11,697600.0,6052.860000000001,39243,0.0
165,N,F,137.0,94500.0,0.0,137.0,277.0,10,14,2410068.0,18845.250000000004,20947,0.0
166,U,F,167.0,15000.0,0.0,167.0,,1,0,15000.0,0.0,0,0.0
167,U,F,167.0,34800.0,0.0,167.0,,1,0,34800.0,0.0,0,0.0
168,U,F,167.0,31000.0,0.0,167.0,,1,0,31000.0,0.0,0,0.0
169,N,F,88.0,78000.0,0.0,88.0,,10,0,2888000.0,0.0,0,0.0
170,N,F,143.0,56900.0,0.0,143.0,532.0,5,15,226900.0,4005.12,63851,0.0
171,U,F,168.0,30000.0,0.0,168.0,,1,0,30000.0,0.0,0,0.0
172,N,F,143.0,96000.0,0.0,143.0,87.0,8,1,1417200.0,41.06,2178,0.0
173,N,F,151.0,95000.0,0.0,151.0,1675.0,12,5,920600.0,1392.08,10795,0.0
174,U,F,168.0,19500.0,0.0,168.0,,1,0,19500.0,0.0,0,0.0
175,N,J,91.0,243000.0,0.0,91.0,,3,0,1458000.0,0.0,0,0.0
176,U,F,172.0,53990.0,0.0,172.0,,3,0,161970.0,0.0,0,0.0
177,U,F,172.0,35000.0,0.0,172.0,,4,0,140000.0,0.0,0,0.0
178,U,F,172.0,36000.0,0.0,172.0,,1,0,36000.0,0.0,0,1.0
179,U,F,172.0,39990.0,0.0,172.0,,4,0,159960.0,0.0,0,0.0
180,U,F,172.0,45345.0,0.0,172.0,,4,0,181380.0,0.0,0,0.0
181,U,F,172.0,70000.0,0.0,172.0,,4,0,280000.0,0.0,0,0.0
182,U,F,172.0,41000.0,0.0,172.0,,5,0,205000.0,0.0,0,0.0
183,U,F,172.0,33000.0,0.0,172.0,,4,0,132000.0,0.0,0,0.0
184,U,F,155.0,76000.0,0.0,155.0,,5,0,308300.0,0.0,0,0.0
185,U,F,173.0,32900.0,0.0,173.0,,5,0,164500.0,0.0,0,0.0
186,U,F,173.0,40200.0,0.0,173.0,,1,0,40200.0,0.0,0,0.0
187,N,F,148.0,84000.0,0.0,148.0,392.0,4,26,336000.0,14023.840000000002,29998,0.0
188,N,F,148.0,54000.0,0.0,148.0,87.0,1,14,108000.0,9916.56,40215,0.0
189,U,F,173.0,34760.0,12.0,-187.0,,3,0,104280.0,0.0,0,0.0
190,U,F,173.0,25750.0,0.0,173.0,,4,0,103000.0,0.0,0,0.0
191,U,F,173.0,70560.0,36.0,-907.0,,5,0,352800.0,0.0,0,0.0
192,N,J,128.0,60000.0,0.0,128.0,,2,0,120000.0,0.0,0,0.0
193,N,F,93.0,63000.0,0.0,93.0,192.0,4,14,215400.0,4354.5599999999995,49214,0.0
194,U,F,128.0,32500.0,0.0,128.0,,2,0,50500.0,0.0,0,0.0
195,U,F,174.0,18700.0,0.0,174.0,,3,0,56100.0,0.0,0,0.0
196,U,F,174.0,55000.0,0.0,174.0,,4,0,220000.0,0.0,0,0.0
197,U,F,157.0,76000.0,0.0,157.0,164.0,1,5,76000.0,1550.0,10000,0.0
198,U,F,174.0,37600.0,0.0,174.0,,2,0,75200.0,0.0,0,0.0
199,U,F,174.0,34000.0,0.0,174.0,,3,0,102000.0,0.0,0,0.0
200,U,F,174.0,27590.0,48.0,-1266.0,,2,0,55180.0,0.0,0,0.0
201,U,F,174.0,71000.0,0.0,174.0,,5,0,355000.0,0.0,0,0.0
202,U,F,174.0,12000.0,0.0,174.0,,1,0,12000.0,0.0,0,0.0
203,N,F,150.0,100700.0,0.0,150.0,,1,0,302100.0,0.0,0,0.0
204,U,F,175.0,48500.0,0.0,175.0,,3,0,145500.0,0.0,0,0.0
205,U,F,175.0,29000.0,0.0,175.0,,4,0,116000.0,0.0,0,0.0
206,U,F,178.0,46000.0,0.0,178.0,,3,12,138000.0,0.0,0,0.0
207,U,F,178.0,30500.0,0.0,178.0,,1,0,30500.0,0.0,0,0.0
208,N,F,149.0,79000.0,36.0,-931.0,,3,0,237000.0,0.0,0,0.0
209,U,F,179.0,43000.0,0.0,179.0,,4,0,172000.0,0.0,0,0.0
210,U,F,179.0,73000.0,0.0,179.0,,3,0,219000.0,0.0,0,0.0
211,U,F,179.0,41500.0,0.0,179.0,,1,0,41500.0,0.0,0,0.0
212,U,F,179.0,36000.0,0.0,179.0,,4,0,144000.0,0.0,0,0.0
213,N,F,135.0,80000.0,0.0,135.0,,6,0,375090.0,0.0,0,0.0
214,U,F,180.0,30200.0,24.0,-540.0,,4,0,120800.0,0.0,0,0.0
215,N,F,155.0,96000.0,0.0,155.0,224.0,8,8,661800.0,2112.69,10864,0.0
216,U,F,180.0,35000.0,0.0,180.0,,2,0,70000.0,0.0,0,0.0
217,U,F,181.0,59000.0,0.0,181.0,,4,0,236000.0,0.0,0,0.0
218,N,F,136.0,440000.0,0.0,136.0,1196.0,3,10,1320000.0,4056.2200000000003,22574,0.0
219,U,F,181.0,54000.0,0.0,181.0,,2,0,108000.0,0.0,0,0.0
220,U,F,181.0,74250.0,0.0,181.0,,2,0,148500.0,0.0,0,0.0
221,U,F,156.0,114250.0,0.0,156.0,259.0,7,6,671510.0,5418.450000000001,12806,1.0
222,U,F,181.0,37700.0,0.0,181.0,,2,0,75400.0,0.0,0,0.0
223,U,F,182.0,19000.0,30.0,-718.0,,2,0,38000.0,0.0,0,0.0
224,N,F,183.0,74650.0,0.0,183.0,3969.0,4,3,242300.0,0.0,0,0.0
225,N,F,183.0,76466.67,0.0,183.0,,4,0,305866.68,0.0,0,0.0
226,N,F,114.0,82900.0,0.0,114.0,144.0,9,6,1368200.0,4266.499999999999,30431,0.0
227,U,F,185.0,47000.0,0.0,185.0,,1,0,47000.0,0.0,0,0.0
228,U,F,186.0,34990.0,0.0,186.0,,4,0,139960.0,0.0,0,0.0
229,N,F,161.0,93200.0,24.0,-559.0,276.0,2,3,186400.0,971.97,9624,0.0
230,U,F,186.0,34100.0,0.0,186.0,,3,0,102300.0,0.0,0,0.0
231,U,F,186.0,41300.0,0.0,186.0,,1,0,41300.0,0.0,0,0.0
232,U,F,186.0,34000.0,0.0,186.0,133.0,1,1,34000.0,300.0,44179,0.0
233,N,F,162.0,121500.0,0.0,162.0,162.0,3,1,364500.0,1420.0,19985,0.0
234,U,F,187.0,30890.0,0.0,187.0,,4,0,123560.0,0.0,0,0.0
235,N,F,148.0,78990.0,0.0,148.0,420.0,5,2,321970.0,770.4,76405,0.0
236,N,F,193.0,104500.0,0.0,193.0,955.0,4,15,373200.0,8767.47,40993,0.0
237,N,F,193.0,123500.0,0.0,193.0,,3,0,370500.0,0.0,0,0.0
238,N,F,168.0,66000.0,0.0,168.0,,1,0,198000.0,0.0,0,0.0
239,U,F,193.0,41800.0,0.0,193.0,,4,0,167200.0,0.0,0,0.0
240,U,F,193.0,32990.0,48.0,-1247.0,,2,0,65980.0,0.0,0,0.0
241,U,F,193.0,24500.0,0.0,193.0,,1,0,24500.0,0.0,0,0.0
242,N,F,176.0,104761.0,0.0,176.0,183.0,4,13,380283.0,5845.050000000001,67499,0.0
243,N,J,113.0,430000.0,0.0,113.0,962.0,27,4,7837250.0,608.84,10,1.0
244,N,F,168.0,171950.0,0.0,168.0,122.0,5,51,2287700.0,82309.90000000001,46510,1.0
245,N,F,193.0,107000.0,0.0,193.0,203.0,5,6,413500.0,10261.98,33471,0.0
246,N,F,176.0,80000.0,0.0,176.0,2499.0,13,7,744000.0,1743.46,20532,0.0
247,U,F,193.0,26000.0,0.0,193.0,,1,0,26000.0,0.0,0,0.0
248,N,J,168.0,283000.0,0.0,168.0,994.0,5,13,994000.0,3694.69,10485,0.0
249,U,J,113.0,62000.0,0.0,113.0,,22,0,796200.0,0.0,0,0.0
250,N,F,164.0,83000.0,0.0,164.0,467.0,5,15,733300.0,18791.660000000003,28474,0.0
251,U,F,194.0,47500.0,0.0,194.0,,5,0,237500.0,0.0,0,0.0
252,U,F,194.0,43000.0,0.0,194.0,,1,0,43000.0,0.0,0,0.0
253,U,F,194.0,24290.0,0.0,194.0,,3,0,72870.0,0.0,0,0.0
254,N,F,169.0,83250.0,0.0,169.0,1249.0,9,2,759850.0,1044.66,10280,0.0
255,N,F,149.0,94900.0,48.0,-1291.0,366.0,7,4,562550.0,1045.57,11237,0.0
256,N,F,195.0,80000.0,0.0,195.0,,4,1,640000.0,0.0,0,0.0
257,N,F,114.0,103000.0,0.0,114.0,,2,0,206000.0,0.0,0,0.0
258,U,F,194.0,38000.0,0.0,194.0,,5,0,190000.0,0.0,0,0.0
259,N,F,114.0,171500.0,0.0,114.0,136.0,13,12,1180500.0,1206.71,5582,0.0
260,U,F,194.0,31900.0,0.0,194.0,,4,0,127600.0,0.0,0,0.0
261,N,F,114.0,93000.0,0.0,114.0,112.0,4,5,1116000.0,4618.050000000001,2,0.0
262,N,F,114.0,105000.0,0.0,114.0,107.0,1,8,105000.0,1671.84,50306,0.0
263,U,F,195.0,32900.0,0.0,195.0,,4,0,131600.0,0.0,0,0.0
264,N,F,150.0,70000.0,0.0,150.0,295.0,4,2,280000.0,816.74,138125,0.0
265,U,F,195.0,27500.0,0.0,195.0,,3,0,82500.0,0.0,0,0.0
266,U,F,170.0,60500.0,0.0,170.0,357.0,2,3,121000.0,682.39,97374,0.0
267,N,F,195.0,66200.0,0.0,195.0,241.0,2,2,131700.0,406.27,7246,0.0
268,N,F,197.0,189000.0,0.0,197.0,292.0,6,7,1698480.0,9959.64,40962,0.0
269,U,F,171.0,59000.0,0.0,171.0,1324.0,4,2,236000.0,661.43,17997,0.0
270,N,F,116.0,106000.0,0.0,116.0,273.0,8,18,1381600.0,16750.6,40960,0.0
271,U,F,196.0,28000.0,0.0,196.0,,1,0,28000.0,0.0,0,0.0
272,N,F,196.0,74915.0,0.0,196.0,,3,0,224745.0,0.0,0,0.0
273,N,F,171.0,80000.0,0.0,171.0,,2,0,160000.0,0.0,0,0.0
274,N,F,116.0,185000.0,0.0,116.0,486.0,4,15,740000.0,3620.2799999999997,20563,0.0
275,N,F,171.0,67000.0,0.0,171.0,,2,0,402000.0,0.0,0,0.0
276,N,F,116.0,72000.0,0.0,116.0,333.0,4,5,747000.0,11120.580000000002,20953,0.0
277,U,F,196.0,44650.0,12.0,-164.0,,3,0,133950.0,0.0,0,0.0
278,N,F,171.0,72500.0,0.0,171.0,546.0,11,3,857950.0,1362.18,11890,0.0
279,U,F,196.0,58000.0,0.0,196.0,,1,4,58000.0,0.0,39911,0.0
280,N,F,169.0,194000.0,0.0,169.0,,4,0,554000.0,0.0,0,0.0
281,N,F,119.0,98100.0,0.0,119.0,57.0,12,1,2143600.0,200.0,2,0.0
282,U,F,199.0,29870.0,0.0,199.0,,4,0,119480.0,0.0,0,0.0
283,U,F,199.0,25000.0,0.0,199.0,,1,0,25000.0,0.0,0,0.0
284,U,F,199.0,17500.0,0.0,199.0,,4,0,70000.0,0.0,0,0.0
285,U,F,199.0,33350.0,0.0,199.0,321.0,4,3,133400.0,1434.19,10393,0.0
286,N,J,170.0,240000.0,0.0,170.0,,6,0,1440000.0,0.0,0,0.0
287,U,F,200.0,31900.0,0.0,200.0,,2,0,63800.0,0.0,0,0.0
288,U,F,200.0,36900.0,36.0,-880.0,,4,0,147600.0,0.0,0,0.0
289,N,F,201.0,189000.0,0.0,201.0,,27,63,2964720.0,18396.339999999997,23190,0.0
290,U,F,200.0,35000.0,0.0,200.0,,2,0,70000.0,0.0,0,0.0
291,U,F,200.0,41500.0,48.0,-1240.0,,1,0,41500.0,0.0,0,0.0
292,N,J,120.0,180000.0,0.0,120.0,,1,0,180000.0,0.0,0,0.0
293,U,F,201.0,44000.0,0.0,201.0,,4,0,176000.0,0.0,0,0.0
294,U,F,201.0,35400.0,0.0,201.0,,1,0,35400.0,0.0,0,0.0
295,U,F,201.0,27900.0,0.0,201.0,,5,0,139500.0,0.0,0,0.0
296,N,F,176.0,104654.0,0.0,176.0,469.0,13,6,2004808.0,4192.54,7803,0.0
297,N,F,176.0,75000.0,0.0,176.0,92.0,9,5,629400.0,7324.790000000001,190,0.0
298,U,F,201.0,40000.0,48.0,-1239.0,,2,0,80000.0,0.0,0,0.0
299,N,F,121.0,80000.0,0.0,121.0,466.0,5,5,359050.0,3837.91,50758,0.0
300,U,F,156.0,54000.0,0.0,156.0,301.0,2,2,216000.0,804.2,10116,0.0
301,N,F,177.0,101000.0,0.0,177.0,1788.0,6,4,531000.0,1340.0,45025,0.0
302,N,F,123.0,108000.0,0.0,123.0,168.0,11,32,2664600.0,26253.18,43693,0.0
303,U,F,203.0,27600.0,24.0,-517.0,,2,0,55200.0,0.0,0,0.0
304,U,F,203.0,52500.0,0.0,203.0,,4,0,210000.0,0.0,0,0.0
305,U,F,203.0,32900.0,48.0,-1237.0,,1,0,32900.0,0.0,0,0.0
306,N,F,178.0,69500.0,0.0,178.0,178.0,2,7,278000.0,3251.3,2,0.0
307,U,F,206.0,32000.0,0.0,206.0,,4,0,128000.0,0.0,0,0.0
308,U,F,206.0,42000.0,0.0,206.0,,5,0,210000.0,0.0,0,0.0
309,U,F,206.0,43000.0,0.0,206.0,,2,0,86000.0,0.0,0,0.0
310,U,J,182.0,43000.0,0.0,182.0,,8,0,185900.0,0.0,0,0.0
