ID,N/U,F/J,DaysLastBuy,ValueLastBuy,NumberOfPayments,FinishPaying,DaysLastService,NumberOfBuys,NumberOfServices,TotalSalesSpending,TotalServicesSpending,KM,Results
15250,N,F,2230.0,71000.0,0.0,2230.0,1914.0,5,1,355000.0,890.0,10315,0.0
15251,N,F,2280.0,52700.0,0.0,2280.0,710.0,3,3,158100.0,1104.44,53959,0.0
15252,N,F,2230.0,40200.0,0.0,2230.0,1141.0,5,23,258900.0,6628.580000000001,41523,0.0
15253,N,F,2230.0,35244.0,0.0,2230.0,917.0,2,1,70488.0,337.87,2334,0.0
15254,N,F,2293.0,66000.0,0.0,2293.0,438.0,6,16,358500.0,4532.259999999999,19239,0.0
15255,N,F,2293.0,52000.0,0.0,2293.0,,3,0,150700.0,0.0,0,0.0
15256,N,F,2285.0,115000.0,0.0,2285.0,,2,0,230000.0,0.0,0,0.0
15257,N,F,2285.0,66000.0,0.0,2285.0,,4,0,264000.0,0.0,0,0.0
15258,N,F,2230.0,38500.0,0.0,2230.0,2061.0,1,3,38500.0,850.98,10126,0.0
15259,N,F,2285.0,36300.0,0.0,2285.0,1878.0,1,1,36300.0,118.57,10942,0.0
15260,N,F,2296.0,53000.0,0.0,2296.0,,3,0,159000.0,0.0,0,0.0
15261,N,F,2288.0,74000.0,0.0,2288.0,1675.0,4,1,296000.0,286.74,30238,0.0
15262,N,F,2314.0,36900.0,0.0,2314.0,1485.0,3,10,221400.0,4504.959999999999,52967,0.0
15263,N,F,2268.0,175000.0,0.0,2268.0,690.0,3,21,525000.0,18136.78,67141,0.0
15264,N,F,2296.0,70000.0,0.0,2296.0,1044.0,6,9,413000.0,2270.9900000000002,66548,0.0
15265,N,F,2314.0,62000.0,0.0,2314.0,1441.0,4,11,744000.0,6237.420000000002,43001,0.0
15266,N,F,2233.0,52500.0,0.0,2233.0,,2,0,105000.0,0.0,0,0.0
15267,N,F,2245.0,52400.0,0.0,2245.0,,1,0,52400.0,0.0,0,0.0
15268,U,F,2283.0,26000.0,0.0,2283.0,,1,0,26000.0,0.0,0,0.0
15269,N,F,2296.0,52500.0,0.0,2296.0,612.0,3,5,157500.0,4043.0400000000004,91504,0.0
15270,N,F,2233.0,163450.0,0.0,2233.0,1109.0,3,17,444774.0,3631.74,22029,0.0
15271,U,F,2296.0,20900.0,0.0,2296.0,,1,0,20900.0,0.0,0,0.0
15272,N,F,2313.0,58500.0,0.0,2313.0,,1,3,58500.0,1014.0,20231,0.0
15273,N,F,2288.0,60000.0,0.0,2288.0,,2,0,480000.0,0.0,0,0.0
15274,N,F,2315.0,78500.0,0.0,2315.0,243.0,4,7,628000.0,5847.98,4778,0.0
15275,N,F,2269.0,245000.0,0.0,2269.0,1208.0,2,6,490000.0,0.0,48076,0.0
15276,N,F,2269.0,61500.0,0.0,2269.0,,2,4,123000.0,1453.51,31096,0.0
15277,N,F,2269.0,53000.0,0.0,2269.0,1634.0,4,4,212000.0,1048.54,20927,0.0
15278,U,F,2289.0,46000.0,0.0,2289.0,,2,0,92000.0,0.0,0,0.0
15279,N,F,2284.0,262000.0,0.0,2284.0,324.0,1,12,262000.0,31996.98,95622,0.0
15280,N,J,2317.0,57700.0,0.0,2317.0,,2,0,923200.0,0.0,0,0.0
15281,U,F,2234.0,35900.0,0.0,2234.0,1709.0,1,2,35900.0,1412.0,24758,0.0
15282,N,F,2314.0,53000.0,0.0,2314.0,431.0,3,8,159000.0,5010.98,32055,0.0
15283,N,F,2290.0,68000.0,0.0,2290.0,,2,0,544000.0,0.0,0,0.0
15284,N,F,2290.0,55000.0,0.0,2290.0,,4,0,220000.0,0.0,0,0.0
15285,N,F,2290.0,54000.0,0.0,2290.0,,2,0,108000.0,0.0,0,0.0
15286,N,F,2285.0,80000.0,0.0,2285.0,1530.0,5,3,400000.0,1067.71,20127,0.0
15287,U,F,2235.0,30000.0,0.0,2235.0,,3,0,256500.0,0.0,0,0.0
15288,N,F,2270.0,55500.0,0.0,2270.0,,3,0,166500.0,0.0,0,0.0
15289,N,F,2270.0,69500.0,0.0,2270.0,575.0,4,22,264000.0,7989.92,43547,0.0
15290,N,F,2315.0,60400.0,0.0,2315.0,,2,0,241600.0,0.0,0,0.0
15291,N,F,2285.0,69900.0,0.0,2285.0,2059.0,2,1,139800.0,430.0,9715,0.0
15292,N,F,2235.0,59400.0,0.0,2235.0,2097.0,6,5,680400.0,2924.26,19998,0.0
15293,N,F,2235.0,69000.0,0.0,2235.0,,1,0,207000.0,0.0,0,0.0
15294,U,F,2286.0,35000.0,0.0,2286.0,,2,0,70000.0,0.0,0,0.0
15295,N,F,2291.0,64000.0,0.0,2291.0,,2,0,512000.0,0.0,0,0.0
15296,N,F,2291.0,54100.0,0.0,2291.0,,4,2,216400.0,698.54,18001,0.0
15297,N,F,2271.0,53000.0,0.0,2271.0,1928.0,3,2,159000.0,897.25,9940,0.0
15298,N,F,2236.0,550000.0,0.0,2236.0,1325.0,5,28,2410000.0,32423.42,40377,0.0
15299,N,F,2319.0,60700.0,0.0,2319.0,,1,0,485600.0,0.0,0,0.0
15300,N,F,2236.0,49000.0,0.0,2236.0,,2,0,97000.0,0.0,0,0.0
15301,N,F,2291.0,67300.0,0.0,2291.0,1766.0,1,14,67300.0,15717.399999999998,20680,0.0
